hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2444,42,1,1.0,1.0,1.0,0.0,0.0,0,0,3,3,2,2,346000.0,254891.55214094912,,40.0,733.0215,0.0,5017.5874,0.0,0.0,0.0,,0.0
2445,42,1,0.0,1.0,1.0,2.0,0.0,0,0,3,3,2,2,31600.0,0.0,0.5,24.0,888.5108,333.19156,5024.8066,6172.374,6205.693,0.0,1.0,0.0
2446,42,1,0.0,1.0,3.0,0.0,0.0,0,0,3,3,2,2,280000.0,233234.0999982541,,216.0,12619.63,0.0,21539.17,0.0,0.0,0.0,,0.0
2447,42,1,0.0,1.0,2.0,3.0,1.0,0,0,3,3,2,2,38000.0,0.0,0.0,72.0,4553.618,291.54263,13746.929,4623.033,6288.9907,1.0,1.0,0.0
2448,42,1,1.0,1.0,2.0,1.0,1.0,0,0,3,3,2,2,10000.0,4164.894642825966,,132.0,388.7235,416.48947,9008.944,0.0,0.0,0.0,1.0,0.0
2449,42,1,1.0,1.0,2.0,2.0,1.0,0,0,3,3,2,2,42000.0,4997.873571391159,,144.0,576.14374,1249.4684,9492.905,0.0,0.0,0.0,0.5,0.0
2450,42,1,1.0,1.0,3.0,3.0,1.0,0,0,3,3,2,2,91200.0,66638.31428521546,0.5,221.0,694.1491,3331.9158,13978.774,0.0,166.59578,0.0,0.0,2498.9368
2452,42,1,0.0,1.0,3.0,3.0,1.0,0,0,3,3,2,2,128000.0,0.0,0.0,200.0,347.07455,3082.022,19923.744,-5830.8525,44147.883,0.0,,0.0
2453,42,1,0.0,1.0,2.0,2.0,1.0,0,0,3,3,2,2,0.0,0.0,0.0,56.0,69.41491,666.3831,8926.758,499.78735,17992.346,0.0,,0.0
2454,42,1,0.0,1.0,1.0,0.0,1.0,0,0,3,3,2,2,160000.0,133276.6285704309,1.0,69.0,2013.0323,249.89368,15761.35,2873.7773,3415.2136,0.0,,0.0
2455,42,1,0.0,1.0,2.0,0.0,1.0,0,0,3,3,2,2,0.0,0.0,1.0,160.0,4685.5063,666.3831,23844.021,624.7342,832.97894,0.0,,0.0
2456,42,1,0.0,1.0,2.0,2.0,0.0,0,0,3,3,2,2,2000.0,1665.9578571303864,,60.0,34.707455,166.59578,4510.164,0.0,0.0,0.0,,0.0
