hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
1,1,1,1.0,1.0,1.0,1.0,0.0,1,3,2,3,0,0,11000.0,0.0,,84.0,138.82982,0.0,4128.3823,0.0,0.0,0.0,1.0,0.0
2,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,25000.0,0.0,,126.0,793.4124,533.1065,6835.4253,0.0,0.0,0.0,1.0,0.0
3,1,1,0.0,1.0,2.0,3.0,1.0,1,3,2,3,0,0,5000.0,0.0,0.0,36.0,1291.1173,0.0,11836.075,2049.1282,2498.9368,0.0,,0.0
4,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,565000.0,462303.30535368226,1.0,84.0,347.07455,0.0,8740.448,2082.4473,2498.9368,1.0,1.0,2915.4263
5,1,1,0.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,55000.0,45813.841071085626,0.0,63.0,104.12237,0.0,6607.467,,74634.08,0.0,,34901.816
6,1,1,1.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,111000.0,88295.76642791048,0.5,56.0,20.824472,333.19156,5612.334,4131.5757,103897.46,0.0,0.0,25280.91
7,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,8000.0,6663.831428521546,0.0,77.0,0.0,0.0,2344.1418,1499.362,7330.2144,0.0,1.0,9662.556
8,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,46000.0,16659.578571303864,,56.0,403.99478,83.29789,4843.7725,0.0,0.0,0.0,,0.0
9,1,1,0.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,22000.0,0.0,0.33333334,99.0,1057.8832,0.0,11052.241,1431.8907,1807.5643,2.0,,25822.348
10,1,1,1.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,74000.0,0.0,0.0,0.0,694.1491,416.48947,15666.113,0.0,0.0,0.0,,113743.27
11,1,1,1.0,0.0,2.0,2.0,0.0,1,3,2,3,0,0,24000.0,11661.704999912705,,56.0,216.57452,0.0,7368.5312,0.0,0.0,0.0,0.0,0.0
12,1,1,0.0,0.0,2.0,0.0,0.0,1,3,2,3,0,0,90500.0,0.0,1.0,71.0,371.36978,666.3831,7972.3022,41.648945,249.89368,0.0,,0.0
13,1,1,1.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,400000.0,333191.5714260773,,224.0,0.0,166.59578,3887.7908,0.0,0.0,0.0,0.0,0.0
14,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,21000.0,3331.915714260773,,83.0,34.707455,274.88306,6282.466,0.0,0.0,0.0,,0.0
15,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,10000.0,0.0,1.0,24.0,0.0,0.0,1939.5914,666.3831,749.681,0.0,,0.0
16,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,60000.0,49978.73571391159,,80.0,104.12237,0.0,8712.959,0.0,0.0,0.0,1.0,0.0
17,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,0.0,0.0,,48.0,1284.1759,333.19156,6003.2793,0.0,0.0,0.0,1.0,0.0
18,1,1,1.0,1.0,3.0,1.0,0.0,1,3,2,3,0,0,0.0,0.0,,60.0,0.0,99.95747,2511.154,0.0,0.0,0.0,,0.0
19,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,72000.0,14160.641785608284,,68.0,444.2554,3248.618,9455.422,0.0,0.0,0.0,,0.0
20,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,21200.0,13077.769178473533,,70.0,694.1491,1491.0322,11458.042,0.0,0.0,0.0,1.0,0.0
21,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,150000.0,0.0,0.0,56.0,999.5747,166.59578,8897.881,-3082.022,2915.4263,1.0,1.0,0.0
23,1,1,1.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,,,,,,,,,,,,
24,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,50000.0,41648.94642825966,0.0,28.0,0.0,333.19156,2867.9463,0.0,0.0,1.0,1.0,2915.4263
25,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,5000.0,0.0,,48.0,124.94684,0.0,10172.894,0.0,0.0,0.0,1.0,0.0
26,1,1,1.0,0.0,3.0,3.0,0.0,1,3,2,3,0,0,160000.0,83297.89285651932,0.0,56.0,381.782,166.59578,9294.656,2873.7773,4164.8945,1.0,0.75,0.0
27,1,1,0.0,1.0,1.0,0.0,0.0,1,3,2,3,0,0,4000.0,0.0,0.0,35.0,34.707455,416.48947,3478.52,2915.4263,3331.9158,1.0,,0.0
28,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,20000.0,16659.578571303864,,104.0,3817.82,0.0,10248.14,0.0,0.0,0.0,,0.0
29,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,32000.0,0.0,,42.0,138.82982,0.0,10102.6455,0.0,0.0,0.0,,0.0
30,1,1,1.0,1.0,3.0,2.0,0.0,1,3,2,3,0,0,10500.0,416.4894642825966,,166.0,455.01474,499.78735,3189.1292,0.0,0.0,0.0,0.0,0.0
31,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,25000.0,12494.683928477898,,54.0,0.0,166.59578,4438.9443,0.0,0.0,0.0,1.0,0.0
32,1,1,1.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,62000.0,45813.841071085626,0.0,80.0,83.29789,133.27663,3339.1348,-641.3938,1874.2026,0.0,,0.0
33,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,405000.0,333191.5714260773,,48.0,360.95752,249.89368,9534.276,0.0,0.0,0.0,,6663.8315
34,1,1,0.0,0.0,2.0,2.0,1.0,1,3,2,3,0,0,60000.0,49978.73571391159,0.6666667,28.0,0.0,0.0,4584.4385,3444.368,13550.068,1.0,,12119.844
35,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,300000.0,0.0,,42.0,104.12237,0.0,12655.449,0.0,0.0,0.0,1.0,46646.82
36,1,1,0.0,1.0,2.0,1.0,0.0,1,3,2,3,0,0,,,,,,,,,,,,
37,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,170000.0,0.0,0.0,175.0,1908.91,566.42566,29325.857,-4164.8945,0.0,0.0,,302662.9
38,1,1,1.0,0.0,1.0,2.0,1.0,1,3,2,3,0,0,6000.0,4997.873571391159,,15.0,572.67303,191.58516,2816.9958,0.0,0.0,0.0,1.0,0.0
39,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,50000.0,0.0,0.0,14.0,930.15985,416.48947,10926.324,16451.334,17492.557,1.0,1.0,27488.305
41,1,1,0.0,1.0,1.0,0.0,1.0,1,3,2,3,0,0,100000.0,49978.73571391159,1.0,91.0,138.82982,249.89368,7445.1655,3306.9263,3331.9158,1.0,,999.5747
42,1,1,1.0,0.0,3.0,3.0,0.0,1,3,2,3,0,0,675800.0,562927.1599243575,,0.0,763.564,166.59578,12291.714,0.0,0.0,0.0,1.0,0.0
43,1,1,1.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,500.0,416.4894642825966,,30.0,0.0,83.29789,3712.865,0.0,0.0,0.0,1.0,0.0
44,1,1,1.0,0.0,2.0,2.0,0.0,1,3,2,3,0,0,44300.0,12744.577607047457,,166.0,1391.7689,316.53198,9912.449,0.0,0.0,0.0,1.0,0.0
46,1,1,0.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,200000.0,0.0,,297.0,5997.4487,0.0,12312.816,0.0,0.0,0.0,1.0,13452.609
47,1,1,0.0,1.0,1.0,1.0,0.0,1,3,2,3,0,0,10000.0,0.0,0.0,0.0,343.6038,499.78735,3411.4653,3731.7456,5414.363,1.0,0.0,3331.9158
49,1,1,1.0,0.0,1.0,1.0,0.0,1,3,2,3,0,0,105000.0,0.0,,96.0,475.49216,133.27663,6254.9775,0.0,0.0,0.0,,0.0
50,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,30500.0,25405.857321238393,1.0,117.0,909.3354,83.29789,5129.4844,-520.6118,666.3831,1.0,0.0,0.0
53,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,46000.0,38317.03071399889,,138.0,4643.8574,416.48947,24911.9,0.0,0.0,0.0,,0.0
54,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,536500.0,441478.8321395524,,48.0,163.12505,0.0,6288.8525,0.0,0.0,0.0,1.0,0.0
56,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,78000.0,41648.94642825966,,72.0,263.77664,291.54263,9263.836,0.0,0.0,0.0,,1665.9579
57,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,0.0,0.0,,6.0,229.06921,41.648945,3012.1907,0.0,0.0,0.0,1.0,0.0
58,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,15000.0,0.0,,30.0,34.707455,2124.0962,4413.261,0.0,0.0,0.0,,0.0
59,1,1,1.0,1.0,1.0,0.0,0.0,1,3,2,3,0,0,154900.0,64472.56907094595,1.0,84.0,2380.9314,499.78735,6895.6772,1699.277,5997.448,0.0,,5914.1504
63,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,300000.0,58308.524999563524,,84.0,832.97894,749.681,14075.4,0.0,0.0,0.0,0.5,0.0
65,1,1,0.0,1.0,3.0,2.0,0.0,1,3,2,3,0,0,70000.0,4164.894642825966,,158.0,173.53728,1541.011,7697.003,0.0,0.0,0.0,,0.0
66,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,130000.0,99957.47142782318,,60.0,0.0,16.659578,5772.544,0.0,0.0,0.0,,0.0
67,1,1,1.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,110000.0,0.0,,48.0,485.9044,41.648945,3704.5352,0.0,0.0,0.0,1.0,0.0
69,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,41000.0,20824.47321412983,0.0,54.0,55.531925,83.29789,4102.4214,-624.7342,0.0,1.0,1.0,0.0
70,1,1,1.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,75000.0,41648.94642825966,,84.0,520.6118,499.78735,6297.5986,0.0,0.0,0.0,1.0,0.0
71,1,1,1.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,4000.0,3331.915714260773,,40.0,0.0,249.89368,5195.3594,0.0,0.0,0.0,1.0,0.0
72,1,1,1.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,30000.0,0.0,,30.0,5948.858,416.48947,20440.748,0.0,0.0,0.0,,0.0
73,1,1,0.0,1.0,1.0,0.0,1.0,1,3,2,3,0,0,277800.0,172426.638212995,1.0,30.0,2294.1628,499.78735,23042.559,0.0,0.0,0.0,1.0,10578.832
75,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,20000.0,16659.578571303864,,91.0,985.6917,241.56389,4146.0137,0.0,0.0,0.0,1.0,1665.9579
76,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,413400.0,159931.9542845171,,56.0,128.41759,2748.8306,7973.1353,0.0,0.0,0.0,,0.0
77,1,1,1.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,120000.0,91627.68214217125,,135.0,7670.3477,3048.703,16974.305,0.0,0.0,0.0,0.5,0.0
78,1,1,1.0,0.0,0.0,0.0,0.0,1,3,2,3,0,0,8000.0,0.0,,0.0,59.002674,99.95747,1750.3662,0.0,0.0,0.0,,0.0
79,1,1,0.0,1.0,2.0,0.0,1.0,1,3,2,3,0,0,120000.0,0.0,1.0,81.0,902.3938,0.0,9357.962,5057.848,38235.4,0.0,,43189.957
81,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,61000.0,50811.714642476785,,32.0,0.0,133.27663,2477.4182,0.0,0.0,0.0,,0.0
82,1,1,1.0,0.0,1.0,0.0,1.0,1,3,2,3,0,0,45000.0,20824.47321412983,0.0,88.0,69.41491,0.0,7446.8315,3581.8093,21074.367,1.0,,0.0
84,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,0.0,0.0,0.0,98.0,138.82982,832.97894,7037.2837,9096.13,33319.156,1.0,0.0,26738.623
85,1,1,1.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,52000.0,43314.90428539005,,48.0,104.12237,124.94684,5908.4556,0.0,0.0,0.0,,0.0
87,1,1,1.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,30500.0,0.0,0.6666667,182.0,441.47885,5101.996,7243.5845,42610.203,43156.637,1.0,1.0,26988.518
88,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,5000.0,0.0,,126.0,72.88566,774.6704,5385.903,0.0,0.0,0.0,,0.0
89,1,1,1.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,45000.0,33319.15714260773,,108.0,1329.2955,166.59578,6053.952,0.0,0.0,0.0,,1665.9579
90,1,1,0.0,0.0,1.0,2.0,0.0,1,3,2,3,0,0,10000.0,8329.789285651932,,32.0,291.54263,0.0,1760.5009,0.0,0.0,0.0,,0.0
92,1,1,0.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,311500.0,92877.15053501904,0.0,138.0,69.41491,83.29789,14680.282,1249.4684,2498.9368,0.0,,28321.283
93,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,521500.0,433149.04285390046,0.0,84.0,41.648945,0.0,4722.4355,4926.2373,5747.5547,2.0,,37484.05
94,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,34000.0,0.0,,48.0,1034.2821,41.648945,9893.014,0.0,0.0,0.0,1.0,0.0
95,1,1,0.0,1.0,2.0,1.0,0.0,1,3,2,3,0,0,64000.0,49145.7567853464,,129.0,673.32465,83.29789,19977.611,0.0,0.0,0.0,1.0,0.0
96,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,0.0,0.0,0.0,112.0,69.41491,416.48947,14749.28,5830.8525,7496.8105,0.0,1.0,55809.59
97,1,1,1.0,1.0,2.0,1.0,0.0,1,3,2,3,0,0,98000.0,66638.31428521546,,88.0,69.41491,1066.213,10925.769,0.0,0.0,0.0,1.0,0.0
98,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,36000.0,14993.620714173478,,40.0,0.0,333.19156,4087.7056,0.0,0.0,0.0,,0.0
99,2,0,0.0,1.0,3.0,3.0,0.0,3,1,2,1,0,0,35500.0,4164.894642825966,,90.0,2221.277,249.89368,8084.0605,0.0,0.0,0.0,1.0,0.0
100,2,0,0.0,1.0,3.0,3.0,1.0,3,1,2,1,0,0,49700.0,29154.262499781762,,256.0,961.3965,249.89368,9399.474,0.0,0.0,0.0,0.5,0.0
101,2,0,1.0,1.0,3.0,1.0,0.0,3,1,2,1,0,0,9000.0,7496.810357086739,,9.0,142.30057,1249.4684,7917.8813,0.0,0.0,0.0,0.0,0.0
102,2,0,0.0,1.0,3.0,2.0,0.0,3,1,2,1,0,0,9600.0,3831.703071399889,,145.0,159.6543,1499.362,6885.9595,0.0,0.0,0.0,,0.0
103,2,0,1.0,1.0,1.0,0.0,0.0,3,1,2,1,0,0,15900.0,0.0,,48.0,34.707455,249.89368,3175.5933,0.0,0.0,0.0,,0.0
104,2,0,1.0,0.0,3.0,2.0,0.0,3,1,2,1,0,0,77550.0,12952.822339188755,,161.0,2280.2798,916.2768,15401.086,0.0,0.0,0.0,1.0,0.0
105,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,24000.0,7496.810357086739,,65.0,347.07455,258.22348,5966.35,0.0,0.0,0.0,,0.0
106,2,0,0.0,1.0,1.0,1.0,0.0,3,1,2,1,0,0,,,,,,,,,,,,
107,2,0,1.0,1.0,2.0,2.0,2.0,3,1,2,1,0,0,77500.0,48312.777856781206,0.5,24.0,20.824472,166.59578,2785.3425,2665.5325,4664.682,0.0,,1665.9579
108,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,,,,,,,,,,,,
109,2,0,0.0,1.0,2.0,1.0,0.0,3,1,2,1,0,0,12000.0,0.0,1.0,56.0,603.9097,499.78735,8434.468,415.6565,832.14594,0.0,1.0,2998.724
110,2,0,1.0,1.0,2.0,0.0,0.0,3,1,2,1,0,0,64000.0,0.0,1.0,40.0,798.2715,333.19156,7348.4014,791.32996,3415.2136,0.0,0.0,499.78735
111,2,0,0.0,0.0,3.0,3.0,1.0,3,1,2,1,0,0,46000.0,8329.789285651932,1.0,75.0,499.78735,374.8405,4825.7246,2898.7666,4464.767,0.0,0.5,0.0
112,2,0,1.0,1.0,2.0,1.0,1.0,3,1,2,1,0,0,21500.0,7080.320892804142,1.0,105.0,659.44165,624.7342,9145.275,2082.4473,11495.109,0.0,,0.0
113,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,1060.0,416.4894642825966,,94.0,31.23671,308.2022,3649.5583,0.0,0.0,0.0,1.0,0.0
114,2,0,1.0,1.0,1.0,2.0,0.0,3,1,2,1,0,0,20000.0,0.0,,46.0,784.3885,149.9362,10879.677,0.0,0.0,0.0,,0.0
115,2,0,0.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,90000.0,1665.9578571303864,0.6666667,160.0,242.9522,574.75543,3694.5393,4856.267,12011.556,0.0,0.0,4997.8735
116,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,,,,,,,,,,,,
117,2,0,0.0,1.0,2.0,0.0,0.0,3,1,2,1,0,0,55000.0,0.0,0.0,60.0,985.6917,832.97894,22298.291,66.63831,416.48947,0.0,0.5,0.0
119,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,24700.0,583.0852499956352,,28.0,360.95752,1332.7662,5940.5273,0.0,0.0,0.0,1.0,0.0
121,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,35600.0,4664.681999965082,,56.0,562.2608,0.0,6179.0376,0.0,0.0,0.0,1.0,0.0
122,2,0,1.0,1.0,3.0,3.0,0.0,3,1,2,1,0,0,27000.0,8329.789285651932,,44.0,603.9097,857.9683,14212.564,0.0,0.0,0.0,1.0,0.0
123,2,0,1.0,1.0,3.0,3.0,0.0,3,1,2,1,0,0,2000.0,1665.9578571303864,,87.0,20.824472,174.92557,3017.7437,0.0,0.0,0.0,0.0,0.0
124,2,0,1.0,1.0,1.0,2.0,0.0,3,1,2,1,0,0,69000.0,42481.92535682485,0.0,0.0,558.79004,333.19156,4715.4937,11078.62,38317.03,0.0,,1665.9579
125,2,0,1.0,1.0,3.0,2.0,1.0,3,1,2,1,0,0,75000.0,45813.841071085626,,0.0,88.85108,1249.4684,7022.9844,0.0,0.0,0.0,,20824.473
126,2,0,0.0,1.0,3.0,1.0,0.0,3,1,2,1,0,0,0.0,0.0,,100.0,284.60114,0.0,6094.0737,0.0,0.0,0.0,0.0,0.0
127,2,0,0.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,32000.0,26655.325714086182,,40.0,111.06385,374.8405,5809.3335,0.0,0.0,0.0,1.0,0.0
128,2,0,1.0,1.0,2.0,0.0,0.0,3,1,2,1,0,0,55000.0,45813.841071085626,0.0,72.0,312.3671,749.681,9213.719,499.78735,832.97894,0.0,,0.0
129,2,0,1.0,1.0,1.0,0.0,0.0,3,1,2,1,0,0,,,,,,,,,,,,
130,2,0,1.0,0.0,3.0,3.0,2.0,3,1,2,1,0,0,118000.0,1665.9578571303864,1.0,134.0,62.47342,749.681,7205.8228,0.0,2498.9368,0.0,0.16666667,0.0
131,2,0,0.0,1.0,2.0,0.0,0.0,3,1,2,1,0,0,0.0,0.0,,124.0,645.55865,499.78735,9110.29,0.0,0.0,0.0,0.0,0.0
132,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,18000.0,14993.620714173478,0.0,96.0,249.89368,308.2022,10430.007,5422.693,18742.025,0.0,1.0,0.0
133,2,0,0.0,1.0,1.0,2.0,0.0,3,1,2,1,0,0,0.0,0.0,,48.0,1249.4684,0.0,11611.726,0.0,0.0,0.0,,0.0
137,2,0,0.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,20000.0,8329.789285651932,1.0,208.0,0.0,199.91495,5218.891,-126.6128,269.88516,0.0,1.0,0.0
138,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,15000.0,8329.789285651932,0.0,42.0,244.3405,374.8405,8418.362,2498.9368,4997.8735,0.0,1.0,0.0
139,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,75000.0,41648.94642825966,1.0,36.0,100.65162,3098.6816,9700.733,3894.1765,4997.8735,0.0,0.0,0.0
140,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,60000.0,0.0,,42.0,347.07455,0.0,8977.014,0.0,0.0,0.0,,0.0
141,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,182000.0,124946.83928477898,0.0,12.0,1686.7823,874.62787,7775.0254,18458.812,38650.223,0.0,1.0,6580.5337
142,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,180000.0,141606.41785608284,,112.0,326.2501,832.97894,7245.5283,0.0,0.0,0.0,1.0,0.0
143,2,0,0.0,1.0,2.0,1.0,0.0,3,1,2,1,0,0,90000.0,66638.31428521546,,128.0,242.9522,458.1384,8920.371,0.0,0.0,0.0,,0.0
144,2,0,0.0,1.0,1.0,1.0,0.0,3,1,2,1,0,0,10000.0,0.0,,40.0,138.82982,416.48947,3138.1094,0.0,0.0,0.0,,2498.9368
145,2,0,1.0,0.0,3.0,3.0,0.0,3,1,2,1,0,0,80000.0,58308.524999563524,1.0,42.0,34.707455,333.19156,3776.1714,2665.5325,8079.8955,0.0,1.0,2498.9368
146,2,0,1.0,1.0,2.0,1.0,1.0,3,1,2,1,0,0,37300.0,0.0,0.0,84.0,437.31393,316.53198,8199.845,4014.9585,37484.05,1.0,1.0,6830.4272
147,2,0,1.0,0.0,2.0,2.0,1.0,3,1,2,1,0,0,0.0,0.0,1.0,70.0,1735.3727,124.94684,7820.1455,3051.202,54629.258,0.0,1.0,1499.362
148,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,105000.0,83297.89285651932,,60.0,756.62256,1416.0642,9118.759,0.0,0.0,0.0,1.0,0.0
149,2,0,1.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,63500.0,41648.94642825966,,30.0,577.53204,3082.022,9026.715,0.0,0.0,0.0,1.0,0.0
150,2,0,1.0,1.0,3.0,3.0,0.0,3,1,2,1,0,0,410000.0,0.0,0.0,119.0,8156.252,1374.4153,20447.135,7430.172,54576.78,0.0,1.0,9121.119
151,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,29000.0,1665.9578571303864,1.0,28.0,433.84317,749.681,4715.077,1829.2217,4578.0522,0.0,1.0,0.0
152,2,0,1.0,1.0,3.0,3.0,1.0,3,1,2,1,0,0,116000.0,70803.20892804142,0.0,82.0,153.40695,3465.1924,9288.2705,-683.0427,1665.9579,0.0,0.5,0.0
153,2,0,0.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,63500.0,0.0,0.0,49.0,329.72083,1582.6599,5240.132,2540.5857,4306.501,0.0,1.0,0.0
154,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,31000.0,24989.367856955796,1.0,54.0,166.59578,1082.8726,3761.733,1999.1494,5331.065,0.0,0.0,3331.9158
155,2,0,0.0,1.0,3.0,3.0,1.0,3,1,2,1,0,0,22000.0,14993.620714173478,1.0,108.0,881.56934,149.9362,5214.17,3856.6924,7288.5654,0.0,0.33333334,1665.9579
157,2,0,0.0,1.0,3.0,3.0,1.0,3,1,2,1,0,0,47000.0,8329.789285651932,1.0,45.0,166.59578,624.7342,4535.848,5164.469,9787.502,0.0,0.0,0.0
158,2,0,0.0,1.0,1.0,2.0,0.0,3,1,2,1,0,0,32000.0,16659.578571303864,0.0,45.0,24.29522,333.19156,4127.2715,13127.748,20208.068,0.0,1.0,0.0
159,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,26200.0,17659.153285582095,1.0,30.0,236.0107,291.54263,5635.3804,1524.3514,3598.469,0.0,1.0,0.0
160,2,0,0.0,0.0,1.0,0.0,1.0,3,1,2,1,0,0,4300.0,0.0,,40.0,0.0,41.648945,11464.845,0.0,0.0,0.0,1.0,0.0
161,2,0,1.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,21000.0,4997.873571391159,0.0,42.0,17.353727,1332.7662,4974.759,-324.8618,1249.4684,0.0,0.0,0.0
162,2,0,0.0,1.0,3.0,3.0,1.0,3,1,2,1,0,0,20000.0,0.0,0.0,84.0,555.3193,874.62787,3702.1748,1682.6174,4331.49,0.0,,1832.5536
163,2,0,1.0,0.0,2.0,2.0,1.0,3,1,2,1,0,0,77000.0,0.0,0.5,72.0,832.97894,3998.2988,12075.419,-12723.753,25509.98,0.0,,3331.9158
164,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,6000.0,3331.915714260773,,98.0,173.53728,41.648945,6595.805,0.0,0.0,0.0,1.0,0.0
165,2,0,0.0,0.0,2.0,2.0,1.0,3,1,2,1,0,0,24000.0,3748.4051785433694,1.0,53.0,41.648945,3248.618,10633.67,2215.7239,3831.7031,0.0,0.0,0.0
166,2,0,0.0,1.0,1.0,0.0,1.0,3,1,2,1,0,0,20000.0,16659.578571303864,1.0,78.0,4727.1553,83.29789,7437.6685,1771.7462,9795.832,0.0,0.0,36692.723
167,2,0,0.0,0.0,2.0,2.0,1.0,3,1,2,1,0,0,85000.0,58308.524999563524,1.0,24.0,0.0,83.29789,2839.3474,1266.1279,1665.9579,0.0,1.0,6497.236
168,2,0,0.0,1.0,2.0,1.0,1.0,3,1,2,1,0,0,134000.0,0.0,0.5,48.0,19.436174,549.7661,3192.114,8329.789,24989.367,3.0,1.0,25489.154
169,2,0,1.0,0.0,3.0,3.0,0.0,3,1,2,1,0,0,500.0,416.4894642825966,,107.0,0.0,84.130875,1618.8947,0.0,0.0,0.0,1.0,0.0
170,2,0,0.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,0.0,0.0,0.0,63.0,59.002674,249.89368,8917.873,3290.2668,5414.363,0.0,,42398.63
171,2,0,1.0,1.0,1.0,1.0,0.0,3,1,2,1,0,0,0.0,0.0,0.5,57.0,1145.3461,224.90431,6087.9653,7700.89,21136.84,0.0,,4872.927
173,2,0,1.0,1.0,2.0,2.0,0.0,3,1,2,1,0,0,39500.0,8329.789285651932,0.0,105.0,69.41491,832.97894,4081.5967,4852.102,5997.448,0.0,1.0,1249.4684
174,2,0,1.0,1.0,2.0,3.0,0.0,3,1,2,1,0,0,25000.0,4164.894642825966,,20.0,421.3485,1249.4684,7250.9424,0.0,0.0,0.0,1.0,20824.473
175,2,0,0.0,0.0,2.0,3.0,0.0,3,1,2,1,0,0,6800.0,0.0,0.0,42.0,527.5533,333.19156,2930.767,3331.9158,6663.8315,0.0,1.0,0.0
176,2,0,1.0,1.0,2.0,3.0,1.0,3,1,2,1,0,0,30500.0,5414.363035673756,0.0,112.0,123.55854,3073.6921,9174.846,3652.6125,3748.4053,0.0,,2498.9368
