,n_per_pol,sim_num,num_pools,MSE,IOU,min_dosage,best_pol_diff
1213,100,39,6,1.0098332497547289,1.0,True,-0.051216689644990154
1214,100,39,8,1.0062197216296902,0.5,False,-0.1627616166300525
1215,100,39,9,1.0079598081236583,1.0,True,-0.051216689644990154
1216,100,39,9,1.008062993483988,1.0,True,-0.051216689644990154
1217,100,40,4,1.3396311202785427,0.6666666666666666,True,0.4041533423868291
1218,100,40,6,1.3383834109374906,0.6666666666666666,True,0.4041533423868291
1219,100,40,6,1.3380584559794102,0.6666666666666666,True,0.4041533423868291
1220,100,40,6,1.260386425592302,0.5,True,-0.03850350776637157
1221,100,40,6,0.9901033312115513,1.0,True,-0.10164270923369134
1222,100,40,8,0.9895708576520041,0.5,False,-0.164781910701012
1223,100,40,9,0.984953139273593,1.0,True,-0.10164270923369134
1224,100,40,9,0.9862431269710816,1.0,True,-0.10164270923369134
1225,100,41,4,1.2716862872671029,0.6666666666666666,True,0.5476133969994681
1226,100,41,6,1.2684840990031558,0.6666666666666666,True,0.5476133969994681
1227,100,41,6,1.2675637189393922,0.6666666666666666,True,0.5476133969994681
1228,100,41,6,1.1936412405581731,0.5,True,0.10350744123287914
1229,100,41,6,0.9552676131060278,1.0,True,0.08990103974235097
1230,100,41,8,0.9552444252179481,0.5,False,0.0762946382518237
1231,100,41,9,0.951988512723017,1.0,True,0.08990103974235097
1232,100,41,9,0.9485395316525365,1.0,True,0.08990103974235097
1233,100,42,4,1.2911299417063389,0.6666666666666666,True,0.5189061544984668
1234,100,42,6,1.2906139169617075,0.6666666666666666,True,0.5189061544984668
1235,100,42,6,1.2894127956975552,0.6666666666666666,True,0.5189061544984668
1236,100,42,6,1.2163983090730768,0.5,True,0.010169230119698724
1237,100,42,6,0.9584893193875881,1.0,True,0.07210817464547148
1238,100,42,8,0.9568721656259,0.5,True,0.010169230119698724
1239,100,42,9,0.9576615660474838,1.0,True,0.07210817464547148
1240,100,42,9,0.9563001169147602,1.0,True,0.07210817464547148
1241,100,43,4,1.3122883839802,0.6666666666666666,True,0.5380080954461661
1242,100,43,6,1.3064513184584499,0.6666666666666666,True,0.5380080954461661
1243,100,43,6,1.3096026029549606,0.6666666666666666,True,0.5380080954461661
1244,100,43,6,1.2062096785714567,0.5,True,0.21065725074427988
1245,100,43,4,1.5887885568926225,0.6666666666666666,True,1.050322940330589
1246,100,43,6,1.3753162774186176,0.5,False,-0.07151821917876067
1247,100,43,6,0.93567463373818,1.0,True,0.06956951578275916
1248,100,43,8,0.931196478371642,0.5,False,-0.07151821917876067
1249,100,43,9,0.9298330930530603,1.0,True,0.06956951578275916
1250,100,43,9,0.9326961389693207,1.0,True,0.06956951578275916
1251,100,44,4,1.38303751790667,0.6666666666666666,True,0.6501599279853263
1252,100,44,6,1.3829640037955024,0.6666666666666666,True,0.6501599279853263
1253,100,44,6,1.382664894559894,0.6666666666666666,True,0.6501599279853263
1254,100,44,6,1.291318486808068,0.5,True,0.09528343696508035
1255,100,44,6,0.9973659117310529,1.0,True,0.15752303368961318
1256,100,44,8,0.9963100385172129,0.5,True,0.09528343696508035
1257,100,44,9,0.9967915515820936,1.0,True,0.15752303368961318
1258,100,44,9,0.996541731562252,1.0,True,0.15752303368961318
1259,100,45,4,1.4377162682900546,0.6666666666666666,True,0.4242643407131128
1260,100,45,6,1.3564571044230425,0.5,True,-0.047245829602931444
1261,100,45,6,1.039975063778998,1.0,True,-0.09045620027975954
1262,100,45,8,1.038745938018606,0.5,False,-0.13366657095658763
1263,100,45,9,1.036031014007117,1.0,True,-0.09045620027975954
1264,100,45,9,1.037642350160171,1.0,True,-0.09045620027975954
1265,100,46,4,1.3823783418353162,0.6666666666666666,True,0.5437594135553017
1266,100,46,6,1.3816625940434637,0.6666666666666666,True,0.5437594135553017
1267,100,46,6,1.3776960515925516,0.6666666666666666,True,0.5437594135553017
1268,100,46,6,1.2983413473701109,0.5,True,0.22463695884758295
1269,100,46,6,1.0423137299631917,1.0,True,0.09540737087577078
