,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff,"(0, 0)","(0, 1)","(1, 0)","(1, 1)"
0,10,0,1.3318496358239673,1.8980566694179024,1.0,True,0.3639196632300532,0,0,0,1
1,10,1,1.4144001622543136,2.004959478877425,1.0,True,0.6257356609175626,0,0,0,1
2,10,2,1.326637032354069,1.944590038660012,1.0,True,0.3103373345497693,0,0,0,1
3,10,3,1.2352776682822424,1.7903920792845063,1.0,True,0.5727006296830304,0,0,0,1
4,10,4,1.3057211452606299,1.862828302367657,1.0,True,0.6989092047218537,0,0,0,1
5,10,5,1.3144144897888332,1.8955595500971363,1.0,True,0.502340072489345,0,0,0,1
6,10,6,1.3516424999059062,1.9503327239495045,1.0,True,0.8634989100833224,0,0,0,1
7,10,7,1.4205619557405031,1.9766365340642187,0.75,False,0.6309026582432953,0,0,0,1
8,10,8,1.2628871984502683,1.827241899699907,1.0,True,0.492494915118328,0,0,0,1
9,10,9,1.36502656410268,1.9681147634993534,1.0,True,0.612080281570329,0,0,0,1
10,10,10,1.2651131768083204,1.8598813492657267,1.0,True,0.7530404215924467,0,0,0,1
11,10,11,1.4951682670768314,2.1658428273792105,0.5,False,0.24795620333679125,0,0,0,1
12,10,12,1.271483597877534,1.8680036104982403,1.0,True,0.8400371651377587,0,0,0,1
13,10,13,1.3712939479778137,1.9836619197528114,1.0,True,0.6900774889069328,0,0,0,1
14,10,14,1.487948649170184,2.1445639618453702,0.75,False,0.4855243526705131,0,0,0,1
15,10,15,1.413228910983524,2.058286477859974,1.0,True,0.5087152885459192,0,0,0,1
16,10,16,1.313736658225627,1.9065612162707457,1.0,True,0.80340492810834,0,0,0,1
17,10,17,1.3681802645783447,1.9320173760081198,1.0,True,0.7053103102468561,0,0,0,1
18,10,18,1.2622053529510713,1.8163961931945716,1.0,True,0.5721208699926521,0,0,0,1
19,10,19,1.0806285852792812,1.760905330897958,1.0,True,0.6127740350877815,0,0,0,1
20,10,20,1.3019406479968954,1.956057825387219,1.0,True,0.4927036300788492,0,0,0,1
21,10,21,1.3362423279052194,2.0089100397409583,0.75,False,0.5242286668382996,0,0,0,1
22,10,22,1.2241118255458219,1.8282232796320823,1.0,True,0.627230098339921,0,0,0,1
23,10,23,1.344453819858451,1.883541582232037,1.0,True,0.7241148706901606,0,0,0,1
24,10,24,1.3386350809859429,1.9271584809089637,1.0,True,0.7071378756682423,0,0,0,1
25,10,25,1.2853847035996127,1.8784481669469257,0.75,False,0.5282974847530144,0,0,0,1
26,10,26,1.3348792445705358,1.9210326015449208,0.75,False,0.5560600763440471,0,0,0,1
27,10,27,1.3581364900608695,1.9795832094055767,0.5,True,0.7496839413467207,0,0,0,1
28,10,28,1.4313333587593604,2.0688728270056895,1.0,True,0.518465753510216,0,0,0,1
29,10,29,1.3455760627914632,2.0155558512919454,1.0,True,0.7733596447582052,0,0,0,1
