,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
57,10,57,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
58,10,58,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
59,10,59,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
60,10,60,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
61,10,61,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
62,10,62,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
63,10,63,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
64,10,64,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
65,10,65,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
66,10,66,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
67,10,67,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
68,10,68,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
69,10,69,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
70,10,70,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
71,10,71,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
72,10,72,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
73,10,73,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
74,10,74,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
