,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff
16,10,16,1.2552607241011475,1.7409432404699505,0.0,False,1.143174836311971
17,10,17,1.2930197563209611,1.8002387724446587,0.0,False,0.9278098387630251
18,10,18,1.5162139010901314,2.0612936539117173,0.0,False,0.5492024717841435
19,10,19,1.2466245970811296,1.8127923992736559,0.0,False,0.3383219780747382
20,10,20,1.3215041419282598,1.8520582186191556,0.0,False,0.6944592330910417
21,10,21,1.2785142552397215,1.8142072579114639,0.0,False,0.6430699732825751
22,10,22,1.5130144672829031,2.0388501021078373,0.0,False,0.7416436517506568
23,10,23,1.1850373429096688,1.7085877759338925,0.0,False,0.7644956697577623
24,10,24,1.3065246409588065,1.8264980056603664,0.0,False,0.8002663529844014
25,10,25,1.735260677356851,2.2696482488248697,0.0,False,0.6561242853198124
26,10,26,1.5496806120939084,2.0351108572021337,0.0,False,1.1456975489177452
27,10,27,1.3339648321638347,1.8529335704048582,0.0,False,0.8103126175897666
28,10,28,1.226772524958466,1.7470498120970845,0.0,False,0.7972271286138151
29,10,29,1.2698809856837934,1.7920784838769093,0.0,False,0.7780250180688402
30,10,30,1.520845468923134,2.0630882636746217,0.0,False,0.577572052485122
31,10,31,1.1634392146300325,1.7152229682222737,0.0,False,0.48216246407758856
32,10,32,1.2985502981427384,1.8141907545206046,0.0,False,0.8435954362213378
33,10,33,1.2656325964436903,1.7930320513786464,0.0,False,0.7260054506504403
34,10,34,1.2023574446032697,1.7169144312447848,0.0,False,0.8544301335848479
35,10,35,1.2880293356705703,1.8043834494662803,0.0,False,0.8364588620429014
36,10,36,1.1625238151150494,1.6736955238205977,0.0,False,0.8882829129445167
37,10,37,1.5319728258686236,2.083916396642236,0.0,False,0.4805642922638782
38,10,38,1.2724887962629845,1.794560732097695,0.0,False,0.7792806416528943
39,10,39,1.220008845940408,1.7249758661204013,0.3333333333333333,False,0.950329798200066
40,10,40,1.1951693969225734,1.705493320395366,0.0,False,0.8967607652720764
41,10,41,1.3471007133216548,1.8943662318744066,0.0,False,0.5273448144724835
42,10,42,1.2599653387888263,1.805685880290036,0.0,False,0.5427945849879041
43,10,43,1.1023484522354263,1.6256039292209137,0.0,False,0.7674452301451264
44,10,44,1.5743800124883398,2.10918252776802,0.0,False,0.6519748472031974
45,10,45,1.196178826581199,1.7318939947246457,0.3333333333333333,False,0.6428483185655338
46,10,46,1.1886560992381239,1.6976106992012236,0.3333333333333333,False,0.9104540003690023
47,10,47,1.3003788130673148,1.8159602513496393,0.0,False,0.8441856171767554
48,10,48,1.5887764896409406,2.100314620216215,0.3333333333333333,False,0.8846186942472585
49,10,49,1.2270878228260653,1.7435393031475197,0.0,False,0.8354851967854557
50,10,50,1.349983122587967,1.8528677580671635,0.3333333333333333,False,0.9711536452080365
51,10,51,1.2481288847764744,1.737127128094532,0.0,False,1.110017566819426
52,10,52,1.477813857398616,2.0272605350932165,0.0,False,0.5055332230539946
53,10,53,1.6176578024415396,2.120581493188352,0.0,False,0.9707630925318735
54,10,54,1.2046261482431229,1.7275166997885005,0.0,False,0.7710944845462251
55,10,55,1.3580613978301017,1.8901372509676915,0.0,False,0.6792414686241033
56,10,56,1.3598697538367392,1.8669370987900025,0.0,False,0.9293265504673673
57,10,57,1.0086892940149095,1.5217552873830855,0.0,False,0.8693400663182391
58,10,58,1.2508548520690583,1.7672590755968707,0.0,False,0.8359577647218766
59,10,59,1.4216266628057366,1.915466056058429,0.0,False,1.0616060674730772
60,10,60,1.2474937059095095,1.7653715627455604,0.0,False,0.8212214316394908
61,10,61,1.375681213304499,1.8959313705896146,0.0,False,0.7974984271488479
62,10,62,1.0968407018426543,1.6240733616911425,0.0,False,0.7276734015151183
63,10,63,1.3127468339563768,1.8379103799934846,0.0,False,0.7483645396289216
64,10,64,1.2913324528084504,1.806750994311468,0.0,False,0.8458145849698262
65,10,65,1.1972346832995797,1.6958940011649237,0.0,False,1.0134068213465586
66,10,66,1.243388960198399,1.7604665899596834,0.0,False,0.8292237023871554
67,10,67,1.0926685580007727,1.5877208239516998,0.0,False,1.0494773404907285
68,10,68,1.1758433269698076,1.720888703200579,0.0,False,0.5495462376922866
69,10,69,1.4751261857611033,2.019574831226418,0.0,False,0.5555135453468525
70,10,70,1.5185212613923185,2.043053547493619,0.0,False,0.7546771389869971
71,10,71,1.367858860767845,1.8638722305689437,0.0,False,1.0398663019890133
72,10,72,1.2371998724035067,1.7780517173083676,0.0,False,0.5914815509513929
73,10,73,1.4569292922564323,1.9640782784006614,0.0,False,0.9285101385577086
74,10,74,1.19682284835925,1.686786993722469,0.0,False,1.1003585463678096
75,10,75,1.7553093146467962,2.2636004487287296,0.0,False,0.9170886591806671
76,10,76,1.4540984305840658,1.966215499672061,0.0,False,0.8788293091200474
77,10,77,1.5387129249981266,2.0452168827728947,0.0,False,0.9349604222523213
78,10,78,1.4586495105138462,2.0048068734674347,0.0,False,0.5384263704641175
79,10,79,1.2203563456838826,1.7128267905299785,0.0,False,1.0752955515390408
80,10,80,1.2685099955892958,1.7908829421011867,0.0,False,0.7762705348810908
81,10,81,1.4325373541065094,1.9714111596137278,0.0,False,0.6112619449278149
82,10,82,1.1895890655969694,1.7330245451699344,0.0,False,0.5656452042703481
83,10,83,1.0981950858179772,1.6373328905107427,0.0,False,0.6086219530723467
84,10,84,1.0507446385439319,1.5941201553810247,0.0,False,0.5662448316290725
85,10,85,1.2612900550913024,1.811006519803204,0.0,False,0.5028353528809859
86,10,86,1.215595328872784,1.7422071453682957,0.0,False,0.733881835044885
87,10,87,1.3561574329002488,1.9220734637945196,0.0,False,0.34083969105729306
88,10,88,1.2205704059347877,1.7408017596292802,0.0,False,0.7976864630550757
89,10,89,1.3075927271432415,1.8205269661830297,0.0,False,0.8706576096021177
90,10,90,1.3505200785341511,1.8996062692812603,0.0,False,0.5091380925289073
91,10,91,1.1301773159784858,1.6357559925439253,0.0,False,0.9442132343456038
92,10,92,1.442296629409764,1.9915338793888087,0.0,False,0.5076275002095549
93,10,93,1.389122583856718,1.8861919181500313,0.0,False,1.0293066570668676
94,10,94,1.4455461224917276,1.9506037047972824,0.3333333333333333,False,0.9494241769444525
95,10,95,1.316432011701466,1.8516154913075986,0.0,False,0.6481652039386736
96,10,96,1.4234217690451942,1.9241115134515598,0.0,False,0.9931025559363453
