,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff
0,10,0,0.8828795674659166,1.0,True,-0.12446912749619177
1,10,1,0.8776150243181726,1.0,True,-0.42721462457783055
2,10,2,0.8776150243181726,1.0,True,-0.42721462457783055
3,10,3,0.8776150243181726,1.0,True,-0.42721462457783055
4,10,4,0.8776150243181726,1.0,True,-0.42721462457783055
5,10,5,0.8776150243181726,1.0,True,-0.42721462457783055
6,10,6,0.8776150243181726,1.0,True,-0.42721462457783055
7,10,7,0.8776150243181726,1.0,True,-0.42721462457783055
8,10,8,0.8776150243181726,1.0,True,-0.42721462457783055
9,10,9,0.8776150243181726,1.0,True,-0.42721462457783055
10,10,10,0.8776150243181726,1.0,True,-0.42721462457783055
11,10,11,0.8776150243181726,1.0,True,-0.42721462457783055
12,10,12,0.8776150243181726,1.0,True,-0.42721462457783055
13,10,13,0.8776150243181726,1.0,True,-0.42721462457783055
14,10,14,0.8776150243181726,1.0,True,-0.42721462457783055
15,10,15,0.8776150243181726,1.0,True,-0.42721462457783055
16,10,16,0.8776150243181726,1.0,True,-0.42721462457783055
17,10,17,0.8776150243181726,1.0,True,-0.42721462457783055
18,10,18,0.8776150243181726,1.0,True,-0.42721462457783055
19,10,19,0.8776150243181726,1.0,True,-0.42721462457783055
20,10,20,0.8776150243181726,1.0,True,-0.42721462457783055
21,10,21,0.8776150243181726,1.0,True,-0.42721462457783055
22,10,22,0.8776150243181726,1.0,True,-0.42721462457783055
23,10,23,0.8776150243181726,1.0,True,-0.42721462457783055
24,10,24,0.8776150243181726,1.0,True,-0.42721462457783055
25,10,25,0.8776150243181726,1.0,True,-0.42721462457783055
26,10,26,0.8776150243181726,1.0,True,-0.42721462457783055
27,10,27,0.8776150243181726,1.0,True,-0.42721462457783055
28,10,28,0.8776150243181726,1.0,True,-0.42721462457783055
29,10,29,0.8776150243181726,1.0,True,-0.42721462457783055
30,10,30,0.8776150243181726,1.0,True,-0.42721462457783055
31,10,31,0.8776150243181726,1.0,True,-0.42721462457783055
32,10,32,0.8776150243181726,1.0,True,-0.42721462457783055
33,10,33,0.8776150243181726,1.0,True,-0.42721462457783055
34,10,34,0.8776150243181726,1.0,True,-0.42721462457783055
35,10,35,0.8776150243181726,1.0,True,-0.42721462457783055
36,10,36,0.8776150243181726,1.0,True,-0.42721462457783055
37,10,37,0.8776150243181726,1.0,True,-0.42721462457783055
38,10,38,0.8776150243181726,1.0,True,-0.42721462457783055
39,10,39,0.8776150243181726,1.0,True,-0.42721462457783055
40,10,40,0.8776150243181726,1.0,True,-0.42721462457783055
41,10,41,0.8776150243181726,1.0,True,-0.42721462457783055
42,10,42,0.8776150243181726,1.0,True,-0.42721462457783055
43,10,43,0.8776150243181726,1.0,True,-0.42721462457783055
44,10,44,0.8776150243181726,1.0,True,-0.42721462457783055
45,10,45,0.8776150243181726,1.0,True,-0.42721462457783055
46,10,46,0.8776150243181726,1.0,True,-0.42721462457783055
47,10,47,0.8776150243181726,1.0,True,-0.42721462457783055
48,10,48,0.8776150243181726,1.0,True,-0.42721462457783055
49,10,49,0.8776150243181726,1.0,True,-0.42721462457783055
50,10,50,0.8776150243181726,1.0,True,-0.42721462457783055
51,10,51,0.8776150243181726,1.0,True,-0.42721462457783055
52,10,52,0.8776150243181726,1.0,True,-0.42721462457783055
53,10,53,0.8776150243181726,1.0,True,-0.42721462457783055
54,10,54,0.8776150243181726,1.0,True,-0.42721462457783055
55,10,55,0.8776150243181726,1.0,True,-0.42721462457783055
56,10,56,0.8776150243181726,1.0,True,-0.42721462457783055
57,10,57,0.8776150243181726,1.0,True,-0.42721462457783055
58,10,58,0.8776150243181726,1.0,True,-0.42721462457783055
59,10,59,0.8776150243181726,1.0,True,-0.42721462457783055
60,10,60,0.8776150243181726,1.0,True,-0.42721462457783055
61,10,61,0.8776150243181726,1.0,True,-0.42721462457783055
62,10,62,0.8776150243181726,1.0,True,-0.42721462457783055
63,10,63,0.8776150243181726,1.0,True,-0.42721462457783055
64,10,64,0.8776150243181726,1.0,True,-0.42721462457783055
65,10,65,0.8776150243181726,1.0,True,-0.42721462457783055
66,10,66,0.8776150243181726,1.0,True,-0.42721462457783055
67,10,67,0.8776150243181726,1.0,True,-0.42721462457783055
68,10,68,0.8776150243181726,1.0,True,-0.42721462457783055
69,10,69,0.8776150243181726,1.0,True,-0.42721462457783055
70,10,70,0.8776150243181726,1.0,True,-0.42721462457783055
71,10,71,0.8776150243181726,1.0,True,-0.42721462457783055
72,10,72,0.8776150243181726,1.0,True,-0.42721462457783055
73,10,73,0.8776150243181726,1.0,True,-0.42721462457783055
74,10,74,0.8776150243181726,1.0,True,-0.42721462457783055
75,10,75,0.8776150243181726,1.0,True,-0.42721462457783055
76,10,76,0.8776150243181726,1.0,True,-0.42721462457783055
77,10,77,0.8776150243181726,1.0,True,-0.42721462457783055
78,10,78,0.8776150243181726,1.0,True,-0.42721462457783055
79,10,79,0.8776150243181726,1.0,True,-0.42721462457783055
80,10,80,0.8776150243181726,1.0,True,-0.42721462457783055
81,10,81,0.8776150243181726,1.0,True,-0.42721462457783055
82,10,82,0.8776150243181726,1.0,True,-0.42721462457783055
83,10,83,0.8776150243181726,1.0,True,-0.42721462457783055
84,10,84,0.8776150243181726,1.0,True,-0.42721462457783055
85,10,85,0.8776150243181726,1.0,True,-0.42721462457783055
86,10,86,0.8776150243181726,1.0,True,-0.42721462457783055
87,10,87,0.8776150243181726,1.0,True,-0.42721462457783055
88,10,88,0.8776150243181726,1.0,True,-0.42721462457783055
